Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Timecheck
20200715_171922_3906243744,59,-0.44255,0.029606,0.175515,11,0,0,1,0,3,0:06:10
20200715_171922_3906277076,59,-0.569386,0.045112,0.178639,13,0,0,1,0,3,0:06:10
20200715_171922_3906310408,59,-0.625952,0.049043,0.180642,14,0,0,1,0,3,0:06:10
20200715_171922_3906327074,59,-0.606304,0.028246,0.180974,15,0,0,0,0,3,0:06:10
20200715_171922_3906360406,59,-0.566152,0.008492,0.180344,16,0,0,0,0,3,0:06:10
20200715_171922_3906393738,59,-0.478768,-0.034534,0.178856,17,0,0,0,0,3,0:06:10
20200715_171922_3906410404,59,-0.375455,-0.055354,0.177529,18,0,0,0,0,3,0:06:10
20200715_171922_3906443736,59,-0.337386,-0.063495,0.17714,18,0,0,0,0,3,0:06:10
20200715_171922_3906477068,59,-0.265602,-0.061876,0.176636,19,0,0,0,0,3,0:06:10
20200715_171922_3906510400,59,-0.225304,-0.042049,0.176979,19,0,0,0,0,3,0:06:10
20200715_171922_3906527066,59,-0.226976,-0.009397,0.178536,20,0,0,0,0,3,0:06:10
20200715_171922_3906560398,59,-0.215985,0.003535,0.178925,20,0,0,0,0,3,0:06:10
20200715_171922_3906577064,59,-0.201718,0.008952,0.179223,21,0,0,0,0,3,0:06:10
20200715_171922_3906627062,59,-0.203337,0.013276,0.1796,21,0,0,0,0,3,0:06:10
20200715_171922_3906643728,59,-0.210417,0.01851,0.180584,22,0,0,0,0,3,0:06:10
20200715_171922_3906677060,59,-0.21487,0.019188,0.180962,22,0,0,0,0,3,0:06:10
20200715_171922_3906710392,59,-0.198746,0.01997,0.180859,23,0,0,1,0,3,0:06:10
20200715_171922_3906743724,59,-0.184864,0.015129,0.18055,23,0,0,1,0,3,0:06:10
20200715_171922_3906777056,59,-0.170286,0.010342,0.180241,24,0,0,1,0,3,0:06:10
20200715_171922_3906810388,59,-0.167764,0.004366,0.180459,25,0,0,1,0,3,0:06:10
20200715_171922_3906843720,59,-0.162871,0.000847,0.180733,25,0,0,1,0,3,0:06:10
20200715_171922_3906877052,59,-0.177302,-0.00246,0.181695,26,0,0,1,0,3,0:06:10
20200715_171922_3906893718,59,-0.198995,0.003098,0.183331,27,0,0,1,0,3,0:06:10
20200715_171922_3906943716,59,-0.207045,0.005191,0.183823,27,0,0,1,0,3,0:06:10
20200715_171922_3906977048,59,-0.203215,0.007764,0.183812,28,0,0,1,0,3,0:06:10
20200715_171922_3907010380,59,-0.169885,0.002439,0.182232,28,0,0,1,0,3,0:06:10
20200715_171922_3907027046,59,-0.119546,-0.001806,0.179989,28,0,0,1,0,3,0:06:10
20200715_171923_3907077044,58,-0.094597,-0.004888,0.178559,28,0,0,1,0,3,0:06:11
20200715_171923_3907093710,58,-0.022376,-0.010204,0.176087,28,0,0,1,0,3,0:06:11
20200715_171923_3907143708,58,-0.002917,-0.011948,0.17548,28,0,0,0,0,3,0:06:11
20200715_171923_3907160374,58,0.011514,-0.010889,0.175526,28,0,0,0,0,3,0:06:11
20200715_171923_3907193706,58,0.007284,-0.006275,0.175984,28,0,0,0,0,3,0:06:11
20200715_171923_3907227038,58,0.004651,-0.006274,0.176453,28,0,0,0,0,3,0:06:11
20200715_171923_3907243704,58,0.001796,-0.003856,0.176751,28,0,0,0,0,3,0:06:11
20200715_171923_3907293702,58,0.001458,-0.003362,0.176785,28,0,0,0,0,3,0:06:11
20200715_171923_3907310368,58,0.022981,0.002374,0.176155,27,0,0,0,0,3,0:06:11
20200715_171923_3907343700,58,0.049269,0.003447,0.175217,26,0,0,0,0,3,0:06:11
20200715_171923_3907377032,58,0.138271,0.007551,0.172104,25,0,0,0,0,3,0:06:11
20200715_171923_3907410364,58,0.284751,0.013381,0.167412,23,0,0,0,0,3,0:06:11
20200715_171923_3907443696,58,0.427562,0.014421,0.163452,20,0,0,0,0,3,0:06:11
20200715_171923_3907477028,58,0.557481,0.00208,0.160373,18,0,0,0,0,3,0:06:11
20200715_171923_3907510360,58,0.680277,-0.020384,0.158256,16,0,0,1,0,3,0:06:11
20200715_171923_3907543692,58,0.707151,-0.042552,0.159538,14,0,0,1,0,3,0:06:11
