Timestamp,Odometer,Gear(dashboard),RPM,            Fuel_level,Avg_fuel_consumption,Velocity,            Acceleration_x,Acceleration_y,Acceleration_z,            Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,            Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,            Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right)
20200610_152220_446182152, 24895.3828125, 0.0, 1508.052978515625, 62.38262939453125, 0.4339560270309448, 177.57008361816406, -0.05716115981340408, -0.26572921872138977, -0.8010244369506836, -27815.265625, 9.277484893798828, -2375.68505859375, 0.01097029447555542, -0.004100655671209097, -0.00030511972727254033, 0.0061036087572574615, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446215484, 24895.4140625, 0.0, 1508.87890625, 62.35307693481445, 0.43395668268203735, 177.66868591308594, -0.20508398115634918, -0.20469562709331512, -0.8016881942749023, -27815.3828125, 9.25053596496582, -2377.325439453125, 0.011338252574205399, -0.004140043165534735, -0.0003418509440962225, 0.008667124435305595, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446232150, 24895.4453125, 0.0, 1509.6614990234375, 62.32351303100586, 0.4339572787284851, 177.76837158203125, -0.436824768781662, -0.011359106749296188, -0.8154445290565491, -27815.505859375, 9.223379135131836, -2378.96630859375, 0.011864947155117989, -0.004183187149465084, -0.0004472635337151587, 0.010406652465462685, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446265482, 24895.4609375, 0.0, 1510.0167236328125, 62.30873107910156, 0.43395760655403137, 177.818603515625, -0.5739185810089111, 0.10779868066310883, -0.8232496976852417, -27815.5703125, 9.209787368774414, -2379.78662109375, 0.012168928980827332, -0.004211684223264456, -0.0005199291626922786, 0.010284580290317535, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446315480, 24895.4921875, 0.0, 1510.84912109375, 62.27914810180664, 0.4339582324028015, 177.9187469482422, -0.8034338355064392, 0.2237137258052826, -0.8274155259132385, -27815.705078125, 9.182537078857422, -2381.42822265625, 0.012807657942175865, -0.004269702825695276, -0.0006865478353574872, 0.008300907909870148, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446332146, 24895.5390625, 0.0, 1512.034912109375, 62.23476028442383, 0.43395915627479553, 178.0706024169922, -0.6475374698638916, 0.29227662086486816, -0.8342365026473999, -27815.916015625, 9.141088485717773, -2383.89111328125, 0.013450384140014648, -0.004370258189737797, -0.0007854716968722641, 0.006713969632983208, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446382144, 24895.5546875, 0.0, 1512.39892578125, 62.2199592590332, 0.4339594841003418, 178.1186065673828, -0.4707379937171936, 0.2852167785167694, -0.8317874073982239, -27815.98828125, 9.126957893371582, -2384.71240234375, 0.013598580844700336, -0.004400956444442272, -0.0007491958094760776, 0.006866559851914644, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446398810, 24895.6015625, 0.0, 1513.7025146484375, 62.1755485534668, 0.4339604079723358, 178.2658233642578, 0.028840096667408943, 0.220006063580513, -0.8291323184967041, -27816.20703125, 9.083908081054688, -2387.177490234375, 0.014122862368822098, -0.004453700501471758, -0.0005607585189864039, 0.009857328608632088, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446432142, 24895.6171875, 0.0, 1514.182861328125, 62.160736083984375, 0.4339607059955597, 178.3138427734375, 0.13231146335601807, 0.13864800333976746, -0.825424313545227, -27816.283203125, 9.069308280944824, -2387.999267578125, 0.014362870715558529, -0.004464553203433752, -0.0005228889058344066, 0.011810483410954475, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446465474, 24895.6484375, 0.0, 1515.0450439453125, 62.131103515625, 0.43396130204200745, 178.40966796875, 0.16923359036445618, -0.008912118151783943, -0.8182371258735657, -27816.439453125, 9.03966999053955, -2389.643310546875, 0.014962669461965561, -0.004488117061555386, -0.0005440245731733739, 0.01419088989496231, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
