,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200610_152035_341819660,24848.05078125,106.44435119628906,-3.3636752050369983e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341852992,24848.05078125,106.4443130493164,-3.7932659324724227e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341886324,24848.05078125,106.44428253173828,-6.044556357664986e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341919656,24848.05078125,106.44425201416016,-5.502915882971138e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341952988,24848.05078125,106.44422912597656,-5.069632607046515e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152035_341969654,24848.05078125,106.44419860839844,-6.409572961274534e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342002986,24848.05078125,106.44418334960938,-5.2253444664529525e-06,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342036318,24848.05078125,106.44416046142578,-1.5526238712482158e-05,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342069650,24848.05078125,106.44412994384766,-3.2457704946864396e-05,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342102982,24848.05078125,106.44410705566406,-4.463812729227357e-05,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342136314,24848.05078125,106.44407653808594,-5.068831160315312e-05,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342152980,24848.05078125,106.4440460205078,-5.8034329413203516e-05,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342186312,24848.05078125,106.44403076171876,-1.9056533346883953e-05,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342236310,24848.05078125,106.44400787353516,-2.1195042791077867e-05,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342252976,24848.05078125,106.44396209716795,-5.81391213927418e-05,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342286308,24848.05078125,106.44395446777344,-1.090356454369612e-05,0.0, 0.00.0,0.0,0.0, ,0
20200610_152036_342319640,24848.05078125,106.44392395019531,-1.4671935787191615e-05,0.0, 0.0119020342826843260.011902034282684326,0.0,0.0, ,0
20200610_152036_342369638,24848.05078125,106.4438934326172,6.147837120806798e-05,0.0, 0.059525430202484130.05952543020248413,0.0,0.0, ,0
20200610_152036_342386304,24848.05078125,106.44385528564452,7.110161823220551e-05,0.0, 0.10317388176918030.1031738817691803,0.0,0.0, ,0
20200610_152036_342419636,24848.05078125,106.44384002685548,-1.7567457689438015e-05,0.0158693790435791, 0.11904326081275940.1190432608127594,0.0,0.0, ,0
20200610_152036_342452968,24848.05078125,106.44380950927734,-2.2363603420672007e-05,0.0634928047657013, 0.146822303533554080.14682230353355408,0.0,0.0, ,0
20200610_152036_342502966,24848.05078125,106.4436264038086,5.969541234662756e-05,0.1269855797290802, 0.150789648294448850.15078964829444885,0.0,0.0, ,0
20200610_152036_342519632,24848.05078125,106.44355010986328,-7.209694012999535e-05,0.19047075510025024, 0.14285495877265930.1428549587726593,0.0,0.0, ,0
20200610_152036_342552964,24848.05078125,106.44325256347656,-8.714654541108757e-05,0.2222171425819397, 0.14285495877265930.1428549587726593,0.0,0.0, ,0
20200610_152036_342586296,24848.05078125,106.44300079345705,5.886699000257068e-06,0.28174257278442383, 0.115075916051864620.11507591605186462,0.0,0.0, ,0
20200610_152036_342619628,24848.05078125,106.442626953125,8.633083052700384e-05,0.3333256840705872, 0.0396810770034790040.039681077003479004,0.0,0.0, ,0
20200610_152036_342636294,24848.05078125,106.44183349609376,-0.0013177621876820922,0.40475317835807795, 0.00.0,0.0,0.0, ,0
20200610_152036_342669626,24848.05078125,106.44137573242188,-0.002743598306551576,0.4444342851638794, 0.00.0,0.0,0.0, ,0
20200610_152036_342702958,24848.05078125,106.44039916992188,-0.005958720110356808,0.4880903363227844, 0.00.0,0.0,0.0, ,0
20200610_152036_342752956,24848.05078125,106.43943786621094,-0.009773428551852705,0.4999923706054688, 0.00.0,0.0,0.0, ,0
20200610_152036_342769622,24848.05078125,106.4381332397461,-0.016100306063890457,0.4841229915618897, 0.00.0,0.0,0.0, ,0
20200610_152036_342802954,24848.05078125,106.43771362304688,-0.018111396580934525,0.4682459831237793, 0.00.0,0.0,0.0, ,0
20200610_152036_342836286,24848.05078125,106.43689727783205,-0.019527647644281387,0.4325322508811951, 0.00.0,0.0,0.0, ,0
20200610_152036_342869618,24848.05078125,106.43611907958984,-0.020486954599618912,0.40475317835807795, 0.00.0,0.0,0.0, ,0
20200610_152036_342886284,24848.05078125,106.43533325195312,-0.020436130464077,0.3690394461154938, 0.00.0,0.0,0.0, ,0
20200610_152036_342919616,24848.05078125,106.43494415283205,-0.019861608743667603,0.341268002986908, 0.00.0,0.0,0.0, ,0
20200610_152036_342936282,24848.05078125,106.43424987792969,-0.018350474536418915,0.16269931197166446, 0.00.0,0.0,0.0, ,0
20200610_152036_343002946,24848.05078125,106.4339370727539,-0.017825011163949966,0.04761576652526856, 0.00.0,0.0,0.0, ,0
20200610_152037_343019612,24848.05078125,106.43348693847656,-0.01538384985178709,0.0, 0.00.0,0.0,0.0, ,0
