,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Unnamed: 22,Label
53,20200518_155318_2307457698,592.1237183,-0.003997154,-0.023636226,0.0, 0.00.0,0,0, ,0
54,20200518_155318_2307474364,592.1237183,-0.00497328,-0.023636226,0.0, 0.00.0,0,0, ,0
55,20200518_155318_2307524362,592.1237183,-0.003417992,-0.023636226,0.0, 0.00.0,0,0, ,0
56,20200518_155318_2307541028,592.1237183,-0.005061836,-0.023636226,0.0, 0.00.0,0,0, ,0
57,20200518_155318_2307591026,592.1237183,-0.0067175509999999996,-0.023636226,0.0, 0.00.0,0,0, ,0
58,20200518_155318_2307607692,592.1237183,-0.003651021,-0.023636226,0.0, 0.00.0,0,0, ,0
59,20200518_155318_2307641024,592.1237183,-0.0036744940000000004,-0.023636226,0.0, 0.00.0,0,0, ,0
60,20200518_155318_2307674356,592.1237183,-0.007434114,-0.023636226,0.0, 0.00.0,0,0, ,0
61,20200518_155318_2307707688,592.1237183,-0.005754067,-0.023636226,0.0, 0.00.0,0,0, ,0
62,20200518_155318_2307741020,592.1237183,-0.006284097,-0.023636226,0.0, 0.00.0,0,0, ,0
63,20200518_155318_2307774352,592.1237183,-0.007337941,-0.023636226,0.0, 0.00.0,0,0, ,0
64,20200518_155318_2307791018,592.1237183,-0.006575668000000001,-0.023636226,0.0, 0.00.0,0,0, ,0
65,20200518_155318_2307824350,592.1237183,-0.0055919559999999995,-0.023636226,0.0, 0.00.0,0,0, ,0
66,20200518_155318_2307841016,592.1237183,-0.006075056999999999,-0.023636226,0.0, 0.00.0,0,0, ,0
67,20200518_155319_2307857682,592.1237183,-0.0030299190000000003,-0.023636226,0.0, 0.00.0,0,0, ,0
68,20200518_155320_2307957678,592.1237183,-0.006178653,-0.023636226,0.0, 0.00.0,0,0, ,0
69,20200518_155320_2307991010,592.1237183,-0.006146266,-0.023636226,0.0, 0.00.0,0,0, ,0
70,20200518_155320_2308024342,592.1237183,-0.006878476999999999,-0.023636226,0.0, 0.00.0,0,0, ,0
71,20200518_155320_2308057674,592.1237183,-0.00669469,-0.023636226,0.0, 0.00.0,0,0, ,0
72,20200518_155320_2308091006,592.1237183,-0.006442857,-0.023636226,0.0, 0.00.0,0,0, ,0
73,20200518_155320_2308107672,592.1237183,-0.00657867,-0.023636226,0.0, 0.00.0,0,0, ,0
74,20200518_155320_2308157670,592.1237183,-0.006853415,-0.023636226,0.0, 0.00.0,0,0, ,0
75,20200518_155320_2308174336,592.1237183,-0.007043435,-0.023636226,0.0, 0.00.0,0,0, ,0
76,20200518_155320_2308207668,592.1237183,-0.007426675,-0.023636226,0.0, 0.00.0,0,0, ,0
77,20200518_155320_2308241000,592.1237183,-0.007680979,-0.023636226,0.0, 0.00.0,0,0, ,0
78,20200518_155320_2308274332,592.1237183,-0.007746416999999999,-0.023636226,0.0, 0.00.0,0,0, ,0
79,20200518_155320_2308290998,592.1237183,-0.008074559,-0.023636226,0.0, 0.00.0,0,0, ,0
80,20200518_155320_2308340996,592.1237183,-0.011169188,-0.023636226,0.0, 0.00.0,0,0, ,0
81,20200518_155320_2308374328,592.1237183,-0.008159108,-0.023636226,0.0, 0.00.0,0,0, ,0
82,20200518_155320_2308390994,592.1237183,-0.007983199,-0.023636226,0.0, 0.00.0,0,0, ,0
83,20200518_155320_2308440992,592.1237183,-0.006470209,-0.023636226,0.0, 0.00.0,0,0, ,0
84,20200518_155320_2308457658,592.1237183,-0.008812165,-0.023636226,0.0, 0.00.0,0,0, ,0
85,20200518_155321_2308490990,592.1237183,-0.00889854,-0.023636226,0.0, 0.00.0,0,0, ,0
86,20200518_155321_2308540988,592.1237183,-0.009582957,-0.023636226,0.0, 0.00.0,0,0, ,0
87,20200518_155321_2308557654,592.1237183,-0.009381142,-0.023636226,0.0, 0.00.0,0,0, ,0
88,20200518_155321_2308590986,592.1237183,-0.011583436,-0.023636226,0.0, 0.00.0,0,0, ,0
89,20200518_155321_2308624318,592.1237183,-0.010571052,-0.023636226,0.0, 0.00.0,0,0, ,0
90,20200518_155321_2308657650,592.1237183,-0.010393931,-0.023636226,0.0, 0.00.0,0,0, ,0
91,20200518_155321_2308690982,592.1237183,-0.012406347,-0.023636226,0.0, 0.00.0,0,0, ,0
92,20200518_155321_2308707648,592.1237183,-0.008321168,-0.023636226,0.0, 0.00.0,0,0, ,0
