,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Unnamed: 22,Label
109,20190517_141754_684000868,1585.579712,20.02455521,0.034546427000000005,1.0, 0.00.0,0,0, ,0
110,20190517_141754_684034200,1606.965454,20.72744942,0.038391697999999995,1.0, 0.00.0,0,0, ,0
111,20190517_141754_684067532,1614.6254880000001,21.40662384,0.040924697999999995,1.0, 0.00.0,0,0, ,0
112,20190517_141754_684100864,1598.251221,22.05801582,0.042511635,1.0, 0.00.0,0,0, ,0
113,20190517_141754_684117530,1575.288574,22.68778038,0.042786295999999994,1.0, 0.00.0,0,0, ,0
114,20190517_141754_684167528,1563.76709,22.98929214,0.042786295999999994,1.0, 0.00.0,0,0, ,0
115,20190517_141754_684200860,1529.530273,23.85832214,0.041962310999999995,1.0, 0.00.0,0,0, ,0
116,20190517_141754_684217526,1507.08252,24.46702194,0.040527962,1.0, 0.00.0,0,0, ,0
117,20190517_141754_684250858,1495.979858,24.79362106,0.039368276,1.0, 0.00.0,0,0, ,0
118,20190517_141754_684284190,1474.017334,25.44985771,0.037170976,1.0, 0.00.0,0,0, ,0
119,20190517_141754_684317522,1452.376465,26.09250069,0.033752955,1.0, 0.00.0,0,0, ,0
120,20190517_141754_684350854,1431.053345,26.75025749,0.029510948999999998,1.0, 0.00.0,0,0, ,0
121,20190517_141754_684384186,1410.0432130000002,27.39620018,0.025360495,1.0, 0.00.0,0,0, ,0
122,20190517_141754_684400852,1389.341309,27.96134567,0.021301594,1.0, 0.00.0,0,0, ,0
123,20190517_141755_684450850,1379.104736,28.22506714,0.019409476000000002,1.0, 0.00.0,0,0, ,0
124,20190517_141755_684467516,1348.844971,28.98208809,0.014343481000000002,1.0, 0.00.0,0,0, ,0
125,20190517_141755_684500848,1338.9067380000001,29.22483444,0.012939651000000002,1.0, 0.00.0,0,0, ,0
126,20190517_141755_684534180,1319.24939,29.71052933,0.009918364,1.0, 0.00.0,0,0, ,0
127,20190517_141755_684567512,1299.880615,30.19425392,0.006378271,1.0, 0.00.0,0,0, ,0
128,20190517_141755_684600844,1280.796143,30.70571518,0.002929732,1.0, 0.00.0,0,0, ,0
129,20190517_141755_684634176,1261.991943,31.14372253,-0.001144427,1.0, 0.00.0,0,0, ,0
130,20190517_141755_684667508,1202.707886,31.56308556,-0.004623484000000001,1.0, 0.00.0,0,0, ,0
131,20190517_141755_684684174,1115.720581,31.96294975,-0.006118868,1.0, 0.00.0,0,0, ,0
132,20190517_141755_684734172,1072.160645,32.15046692,-0.00624094,1.0, 0.00.0,0,0, ,0
133,20190517_141755_684750838,972.7586060000001,32.69145966,-0.0034637979999999997,1.0, 0.00.0,0,0, ,0
134,20190517_141755_684784170,953.454895,32.86353683,-0.001327535,1.0, 0.00.0,0,0, ,0
135,20190517_141755_684817502,931.8260498,33.20490265,0.004974441,0.968749523, 0.00.0,0,0, ,0
136,20190517_141755_684850834,941.8352661,33.53482056,0.013153277,0.9257801179999999, 0.00.0,0,0, ,0
137,20190517_141755_684867500,945.1290893999999,33.85641479,0.02151522,0.855466545, 0.00.0,0,0, ,0
138,20190517_141755_684917498,952.0160522,34.02491379,0.025909819,0.832028687, 0.00.0,0,0, ,0
139,20190517_141755_684950830,966.0712891000001,34.52474594,0.039398793,0.773434043, 0.00.0,0,0, ,0
140,20190517_141755_684967496,974.1311035,34.81097794,0.046723124000000005,0.7343785759999999, 0.00.0,0,0, ,0
141,20190517_141755_685000828,991.6993408,34.94397354,0.049958039,0.714847028, 0.00.0,0,0, ,0
142,20190517_141755_685034160,1008.142822,35.20236588,0.055786982,0.675783932, 0.00.0,0,0, ,0
143,20190517_141755_685067492,1016.6704710000001,35.45722961,0.059906919,0.640627146, 0.00.0,0,0, ,0
144,20190517_141755_685100824,1022.957153,35.71660995,0.062775619,0.585938811, 0.00.0,0,0, ,0
145,20190517_141755_685134156,1028.7775880000002,35.98612976,0.064942397,0.535156786, 0.00.0,0,0, ,0
146,20190517_141755_685150822,1034.760986,36.25609589,0.06619364,0.5, 0.00.0,0,0, ,0
147,20190517_141755_685200820,1037.893311,36.39048004,0.06692607,0.48412299200000003, 0.00.0,0,0, ,0
148,20190517_141755_685217486,1048.13623,36.86752701,0.06894026,0.40872052299999995, 0.00.0,0,0, ,0
149,20190517_141755_685250818,1051.418335,37.024345399999994,0.070496678,0.38094911, 0.00.0,0,0, ,0
150,20190517_141755_685284150,1057.666992,37.31912231,0.07275501599999999,0.333325684, 0.00.0,0,0, ,0
151,20190517_141755_685317482,1062.763184,37.56876755,0.074891277,0.281742573, 0.00.0,0,0, ,0
152,20190517_141755_685350814,1067.539795,37.80478668,0.07669184400000001,0.24602884100000003, 0.00.0,0,0, ,0
153,20190517_141755_685384146,1072.399048,38.02645111,0.078095675,0.206347764, 0.00.0,0,0, ,0
154,20190517_141755_685417478,1077.022583,38.25145721,0.08017089999999999,0.14682230400000001, 0.00.0,0,0, ,0
155,20190517_141756_685434144,1082.268799,38.48017120000001,0.08310063200000001,0.115075916, 0.00.0,0,0, ,0
156,20190517_141756_685467476,1085.027466,38.58300018,0.08432135699999999,0.115075916, 0.00.0,0,0, ,0
157,20190517_141756_685500808,1090.9923099999999,38.78006363,0.086518653,0.119043261, 0.00.0,0,0, ,0
158,20190517_141756_685534140,1098.097046,38.99658203,0.08899061400000001,0.138887614, 0.00.0,0,0, ,0
159,20190517_141756_685567472,1105.512695,39.2268219,0.091493092,0.14682230400000001, 0.00.0,0,0, ,0
160,20190517_141756_685600804,1111.914429,39.43341064,0.093568325,0.15872433800000002, 0.00.0,0,0, ,0
161,20190517_141756_685617470,1117.113892,39.61545944,0.095735103,0.16269931199999998, 0.00.0,0,0, ,0
162,20190517_141756_685667468,1119.523682,39.69316483,0.09671168,0.182536036, 0.00.0,0,0, ,0
163,20190517_141756_685700800,1130.2811279999999,39.91877747,0.10016021900000001,0.38094911, 0.00.0,0,0, ,0
164,20190517_141756_685717466,1139.819092,40.07020569,0.10128938400000001,0.554688334, 0.00.0,0,0, ,0
165,20190517_141756_685750798,1144.596313,40.15496826,0.10128938400000001,0.6210955979999999, 0.00.0,0,0, ,0
166,20190517_141756_685784130,1154.551636,40.35268784,0.10128938400000001,0.714847028, 0.00.0,0,0, ,0
167,20190517_141756_685817462,1162.305786,40.56730652,0.10128938400000001,0.730472267, 0.00.0,0,0, ,0
168,20190517_141756_685850794,1169.18042,40.79771423,0.10031280699999999,0.726565957, 0.00.0,0,0, ,0
169,20190517_141756_685884126,1174.865845,41.03395462,0.097108416,0.6796902420000001, 0.00.0,0,0, ,0
170,20190517_141756_685900792,1180.934937,41.27983475,0.092378117,0.667971313, 0.00.0,0,0, ,0
171,20190517_141756_685950790,1184.153198,41.40190887,0.089356832,0.667971313, 0.00.0,0,0, ,0
172,20190517_141756_685967456,1194.017334,41.77163315,0.07971312900000001,0.6601586939999999, 0.00.0,0,0, ,0
173,20190517_141756_686000788,1196.994873,41.89458084,0.07614252,0.640627146, 0.00.0,0,0, ,0
174,20190517_141756_686034120,1202.858032,42.14115524,0.068757154,0.617189288, 0.00.0,0,0, ,0
175,20190517_141756_686067452,1209.2928470000002,42.38776016,0.06195163,0.617189288, 0.00.0,0,0, ,0
176,20190517_141756_686100784,1217.3240970000002,42.63424301,0.056580454,0.6835965509999999, 0.00.0,0,0, ,0
177,20190517_141756_686134116,1226.745483,42.88222504,0.05288777099999999,0.757808805, 0.00.0,0,0, ,0
178,20190517_141756_686150782,1234.9803470000002,43.13215637,0.051392384000000006,0.7656214240000001, 0.00.0,0,0, ,0
179,20190517_141756_686184114,1238.721924,43.25873184,0.050965134,0.7656214240000001, 0.00.0,0,0, ,0
