Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140234_1446236380,81,0.035817,2.1925,9,98,0,0,0,2,0:00:04
20200722_140234_1446286378,81,0.018609,2.1466,9,88,0,0,0,2,0:00:04
20200722_140234_1446319710,82,-0.059468,1.9534,8,72,0,0,0,2,0:00:04
20200722_140234_1446353042,82,-0.091586,1.7728,8,49,0,0,0,2,0:00:04
20200722_140234_1446386374,82,-0.117954,1.6453,8,19,0,0,0,2,0:00:04
20200722_140234_1446419706,83,-0.125837,1.5782,8,8,0,0,0,2,0:00:04
20200722_140234_1446436372,83,-0.101562,1.5876,8,0,0,0,0,2,0:00:04
20200722_140234_1446469704,83,-0.070027,1.6089,8,0,0,0,0,2,0:00:04
20200722_140234_1446503036,83,-0.04608,1.6821,8,0,0,0,0,2,0:00:04
20200722_140234_1446536368,83,-0.014454,1.7762,8,0,0,0,0,2,0:00:04
20200722_140234_1446569700,84,0.022984,1.8077,8,0,0,0,0,2,0:00:04
20200722_140234_1446586366,84,0.038817,1.8434,8,0,0,0,0,2,0:00:04
20200722_140234_1446619698,84,0.040739,1.8578,8,0,0,0,0,2,0:00:04
20200722_140234_1446653030,84,0.044641,1.8908,8,0,0,0,0,2,0:00:04
20200722_140234_1446686362,84,0.043105,1.8935,8,0,0,0,0,2,0:00:04
20200722_140234_1446719694,84,0.047843,1.8988,8,0,0,0,0,2,0:00:04
20200722_140234_1446753026,84,0.05205,1.9106,8,0,0,0,0,2,0:00:04
20200722_140234_1446786358,85,0.060684,1.9436,8,0,0,0,0,2,0:00:04
20200722_140234_1446803024,85,0.062663,1.9758,9,0,0,0,0,2,0:00:04
20200722_140234_1446836356,85,0.065023,1.9982,9,0,0,0,0,2,0:00:04
20200722_140234_1446869688,85,0.063951,2.0289,9,0,0,0,0,2,0:00:04
20200722_140234_1446903020,85,0.063177,2.0559,9,0,0,0,0,2,0:00:04
20200722_140234_1446919686,85,0.065962,2.0969,9,0,0,0,0,2,0:00:04
20200722_140234_1446953018,85,0.071837,2.131,9,0,0,0,0,2,0:00:04
20200722_140234_1446986350,85,0.105946,2.2418,10,0,0,0,0,2,0:00:04
20200722_140234_1447003016,85,0.140701,2.3898,10,0,0,0,0,2,0:00:04
20200722_140234_1447036348,86,0.150796,2.4957,11,0,0,0,0,2,0:00:04
20200722_140234_1447069680,86,0.200235,2.7586,11,0,0,0,0,2,0:00:04
20200722_140235_1447086346,86,0.215588,2.9878,11,0,0,0,0,2,0:00:05
20200722_140235_1447119678,86,0.222247,3.0884,12,0,0,0,0,2,0:00:05
20200722_140235_1447153010,86,0.223595,3.2485,12,0,0,0,0,2,0:00:05
20200722_140235_1447186342,86,0.251464,3.4105,13,0,0,0,0,2,0:00:05
20200722_140235_1447219674,86,0.292078,3.6109,14,0,0,0,0,2,0:00:05
20200722_140235_1447253006,86,0.34961,3.9342,15,0,0,0,0,2,0:00:05
20200722_140235_1447269672,86,0.423636,4.3793,16,0,0,0,0,2,0:00:05
20200722_140235_1447303004,86,0.446219,4.629,17,0,0,0,0,2,0:00:05
20200722_140235_1447336336,86,0.449358,5.1086,17,0,0,0,0,2,0:00:05
20200722_140235_1447369668,86,0.437165,5.4956,18,0,0,0,0,2,0:00:05
20200722_140235_1447403000,86,0.360465,5.6816,18,0,0,0,0,2,0:00:05
20200722_140235_1447436332,86,0.283928,5.6672,18,0,0,0,0,2,0:00:05
20200722_140235_1447452998,86,0.197108,5.5275,19,0,0,0,0,2,0:00:05
20200722_140235_1447486330,86,0.174031,5.4387,19,0,0,0,0,2,0:00:05
20200722_140235_1447519662,87,0.134955,5.3055,19,0,0,0,0,2,0:00:05
20200722_140235_1447552994,87,0.113025,5.2881,19,0,0,0,0,2,0:00:05
20200722_140235_1447586326,87,0.095475,5.3154,19,0,0,0,0,2,0:00:05
20200722_140235_1447619658,87,0.067375,5.3389,19,0,0,0,0,2,0:00:05
20200722_140235_1447636324,87,0.05829,5.3507,19,0,0,0,0,2,0:00:05
20200722_140235_1447669656,87,0.046884,5.3329,19,0,0,0,0,2,0:00:05
20200722_140235_1447686322,87,0.022992,5.2714,19,0,0,0,0,2,0:00:05
20200722_140235_1447719654,87,0.006471,5.2293,19,0,0,0,0,2,0:00:05
20200722_140235_1447752986,87,-0.004324,5.1219,19,0,0,0,0,2,0:00:05
20200722_140235_1447802984,87,0.014967,5.079,19,0,0,0,0,2,0:00:05
20200722_140235_1447819650,87,0.005476,4.9754,19,0,0,0,0,2,0:00:05
20200722_140235_1447852982,87,-0.005654,4.9401,19,0,0,0,0,2,0:00:05
