Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200708_134758_651723930, 747.2044677734375, 8.710823059082031, 0.01766994781792164, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_651773928, 780.3402709960938, 9.277143478393555, 0.01766994781792164, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_651807260, 845.23779296875, 10.158530235290527, 0.01754787564277649, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_651823926, 890.947021484375, 10.769560813903809, 0.018310826271772385, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_651857258, 914.462158203125, 11.082541465759277, 0.018707560375332832, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_651890590, 962.888427734375, 11.72430419921875, 0.021362630650401115, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_651923922, 1013.28173828125, 12.388575553894043, 0.02224765345454216, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_651957254, 1066.808837890625, 13.075811386108398, 0.022888533771038055, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_651990586, 1122.576171875, 13.784830093383789, 0.0235599298030138, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652007252, 1179.9039306640625, 14.513840675354004, 0.0240177009254694, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652040584, 1209.12890625, 14.885533332824707, 0.024322880432009697, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652073916, 1268.6341552734375, 15.642460823059082, 0.02508583292365074, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652090582, 1329.51806640625, 16.417020797729492, 0.02554360218346119, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652123914, 1360.0465087890625, 16.810657501220703, 0.025909818708896637, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652140580, 1421.8822021484375, 17.60953140258789, 0.026672769337892532, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652190578, 1453.193115234375, 18.014320373535156, 0.02697795070707798, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652223910, 1531.9228515625, 19.248044967651367, 0.027435721829533577, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652257242, 1585.1588134765625, 20.04987144470215, 0.027557794004678726, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652273908, 1609.55322265625, 20.815792083740234, 0.027557794004678726, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652307240, 1616.4996337890625, 21.1856689453125, 0.027710383757948875, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652340572, 1614.6165771484375, 21.900808334350586, 0.028015565127134323, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652373904, 1591.9197998046875, 22.58437156677246, 0.02829022705554962, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652407236, 1568.814453125, 23.23876190185547, 0.028168154880404472, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652440568, 1545.860107421875, 23.867862701416016, 0.028137635439634323, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652473900, 1523.19482421875, 24.4725341796875, 0.027740901336073875, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652490566, 1500.8499755859375, 25.052824020385742, 0.027557794004678726, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652523898, 1489.79931640625, 25.334239959716797, 0.027435721829533577, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652557230, 1467.94091796875, 25.87944984436035, 0.02517738565802574, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652590562, 1446.40283203125, 26.40127944946289, 0.022674906998872757, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652623894, 1425.1806640625, 26.90005111694336, 0.018707560375332832, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652640560, 1404.2696533203125, 27.378599166870117, 0.01577782817184925, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134758_652657226, 1393.9295654296875, 27.61003303527832, 0.013550011441111565, 1.0, 0.0, 0.0, 0.0,0.0
20200708_134759_652690558, 1383.6656494140625, 27.839000701904297, 0.0120241092517972, 1.0, 0.0, 0.0, 0.0,0.0
