Timestamp,Odometer,Gear(dashboard),RPM,Fuel_level,Avg_fuel_consumption,Velocity,Acceleration_x,Acceleration_y,Acceleration_z,Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right),
20200518_160919_3088243132,133040.0469,0,1024.380981,205.1161652,0.314774543,88.57529449,0.275918722,-0.006927987,-0.749923527,-29681.2207,42.44434357,3695.105469,0.643179238,-0.001744392,5.30E-05,-0.003128099,1, 0.00.0,0,0,0, 
20200518_160919_3088259798,133040.0625,0,1025.484009,205.0950928,0.314774722,88.67460632,0.33145541,-0.008081741,-0.776120126,-29680.57813,42.44432068,3695.616943,0.643069625,-0.001743823,6.89E-05,-0.005905242,1, 0.00.0,0,0,0, 
20200518_160919_3088309796,133040.0625,0,1026.0354,205.084549,0.314774811,88.72545624,0.352597773,-0.002133972,-0.789121151,-29680.25781,42.44432831,3695.873291,0.642973483,-0.001743937,8.24E-05,-0.006424048,1, 0.00.0,0,0,0, 
20200518_160919_3088326462,133040.0938,0,1027.790039,205.052887,0.314775079,88.88212585,0.307211369,0.016224159,-0.826727927,-29679.29492,42.44443893,3696.64502,0.642623961,-0.001746555,0.000127762,-0.007217517,1, 0.00.0,0,0,0, 
20200518_160919_3088376460,133040.0938,0,1028.377686,205.0422974,0.314775169,88.93548584,0.311124146,0.018953504,-0.838538706,-29678.97461,42.44448853,3696.903076,0.642513394,-0.001747656,0.00013926,-0.007217517,1, 0.00.0,0,0,0, 
20200518_160919_3088409792,133040.125,0,1030.18457,205.0105743,0.314775437,89.09854889,0.249311358,0.01916201,-0.872139931,-29678.01172,42.4445343,3697.679443,0.64222002,-0.001749743,0.000141271,-0.007095445,1, 0.00.0,0,0,0, 
20200518_160919_3088426458,133040.1406,0,1031.431641,204.9893646,0.314775586,89.21089935,0.100010119,0.013753211,-0.893873096,-29677.36914,42.44451904,3698.19873,0.642034471,-0.001746745,0.000117593,-0.007064927,1, 0.00.0,0,0,0, 
20200518_160919_3088443124,133040.1406,0,1032.068604,204.978775,0.314775676,89.26804352,0.041738294,0.008495335,-0.904367745,-29677.04883,42.44451904,3698.45874,0.641939998,-0.001745075,0.000104805,-0.007064927,1, 0.00.0,0,0,0, 
20200518_160919_3088493122,133040.1563,0,1032.709473,204.9681396,0.314775765,89.32559204,0.003952658,-0.000459847,-0.914313018,-29676.72656,42.44451523,3698.719238,0.641843915,-0.001743595,9.35E-05,-0.007064927,1, 0.00.0,0,0,0, 
20200518_160919_3088509788,133040.1719,0,1034.663208,204.936264,0.314776033,89.50108337,-0.034461867,-0.023716958,-0.942718387,-29675.76172,42.44445801,3699.502686,0.641549528,-0.00173908,7.82E-05,-0.007064927,1, 0.00.0,0,0,0, 
