Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Label2
20200707_143739_996793460, 1228.87744140625, 26.897226333618164,-0.0134, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996843458, 1229.138671875, 26.90312957763672,-0.0116, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996860124, 1229.909912109375, 26.920087814331055,-0.0087, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996910122, 1230.1556396484375, 26.925424575805664,-0.0075, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_996943454, 1230.7861328125, 26.93928337097168,-0.0055, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_996960120, 1231.21142578125, 26.948810577392578,-0.0041, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_996993452, 1231.4232177734375, 26.953413009643555,-0.0026, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997043450, 1231.8294677734375, 26.96220588684082,-0.0011, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997060116, 1232.3907470703125, 26.974523544311523,0.0035, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997093448, 1232.57177734375, 26.978408813476562,0.0063, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997110114, 1232.9185791015625, 26.985719680786133,0.0093, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997160112, 1233.0826416015625, 26.989273071289062,0.0125, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997176778, 1233.5521240234375, 26.99903678894043,0.0194, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997210110, 1233.7017822265625, 27.00204849243164,0.0217, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997226776, 1233.9901123046875, 27.007686614990234,0.024, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997276774, 1234.1263427734375, 27.0106258392334,0.0253, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997310106, 1234.5155029296875, 27.01917839050293,0.0261, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997326772, 1234.7545166015625, 27.024600982666016,0.0261, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997360104, 1234.87255859375, 27.02713966369629,0.0261, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997410102, 1235.0928955078125, 27.03205108642578,0.0259, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997426768, 1235.407470703125, 27.03891944885254,0.0251, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997460100, 1235.5042724609375, 27.04106903076172,0.025, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997476766, 1235.689208984375, 27.04523468017578,0.0239, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997526764, 1235.783203125, 27.047237396240234,0.0234, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
