Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200707_143427_816717330, 1092.3243408203125, 62.87548065185547, -0.0077058058232069016, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816750662, 1093.48779296875, 62.953216552734375, -0.0077058058232069016, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816767328, 1095.9493408203125, 63.10300827026367, -0.0079499501734972, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_816817326, 1097.1800537109375, 63.175270080566406, -0.008133058436214924, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_816833992, 1100.73779296875, 63.381500244140625, -0.00871290173381567, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_816867324, 1101.8765869140625, 63.446964263916016, -0.009323262609541416, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_816883990, 1104.062744140625, 63.57309341430664, -0.009689479134976864, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_816933988, 1105.1199951171875, 63.63393783569336, -0.009872587397694588, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_816967320, 1108.1331787109375, 63.80744552612305, -0.009903104975819588, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_816983986, 1110.0164794921875, 63.91595458984375, -0.009903104975819588, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817017318, 1115.129150390625, 63.968135833740234, -0.009903104975819588, 0.1587243378162384, 0.0, 0.0, 0.0,0.0
20200707_143428_817067316, 1123.40234375, 64.07091522216797, -0.009903104975819588, 0.29364460706710815, 0.0, 0.0, 0.0,0.0
20200707_143428_817083982, 1129.1815185546875, 64.22340393066406, -0.00950637087225914, 0.33332568407058716, 0.0, 0.0, 0.0,0.0
20200707_143428_817117314, 1130.0401611328125, 64.27388763427734, -0.00886549148708582, 0.31745630502700806, 0.0, 0.0, 0.0,0.0
20200707_143428_817133980, 1129.964599609375, 64.37432098388672, -0.008102540858089924, 0.24999618530273438, 0.0, 0.0, 0.0,0.0
20200707_143428_817183978, 1128.8043212890625, 64.42399597167969, -0.007248035632073879, 0.14682230353355408, 0.0, 0.0, 0.0,0.0
20200707_143428_817250642, 1124.8936767578125, 64.56838989257812, -0.006240939721465111, 0.011902034282684326, 0.0, 0.0, 0.0,0.0
20200707_143428_817267308, 1124.6483154296875, 64.74541473388672, -0.005874723196029663, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817300640, 1125.25146484375, 64.78683471679688, -0.005874723196029663, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817350638, 1126.549072265625, 64.86641693115234, -0.005111772567033768, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817367304, 1128.4598388671875, 64.97782135009766, -0.0050202179700136185, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817400636, 1129.081298828125, 65.01286315917969, -0.003707942320033908, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817417302, 1130.2413330078125, 65.08030700683594, -0.0022735942620784044, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817467300, 1130.823974609375, 65.11268615722656, -0.001144426641985774, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817517298, 1132.4093017578125, 65.20428466796875, 0.0009155413135886192, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817567296, 1133.84326171875, 65.28749084472656, 0.001190203707665205, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817600628, 1135.1651611328125, 65.36367797851562, 0.0005493247881531715, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817633960, 1135.982421875, 65.41067504882812, -0.0002899214159697294, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817683958, 1136.750244140625, 65.45472717285156, -0.0012970168609172106, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817700624, 1137.830322265625, 65.51554107666016, -0.005264362320303917, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817733956, 1138.1585693359375, 65.53457641601562, -0.0068818191066384315, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143428_817750622, 1138.7969970703125, 65.5704574584961, -0.009079118259251118, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143429_817783954, 1139.092041015625, 65.58757781982422, -0.010055695660412312, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143429_817817286, 1139.6573486328125, 65.61997985839844, -0.010055695660412312, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143429_817833952, 1140.1732177734375, 65.65003204345703, -0.009292744100093842, 0.0, 0.0, 0.0, 0.0,0.0
20200707_143429_817867284, 1140.413818359375, 65.66419982910156, -0.008896009996533394, 0.0, 0.0, 0.0, 0.0,0.0
