Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Label2
20200714_152124_260844696, 1091.3404541015625, 62.836090087890625,0.0161, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152124_260878028, 1091.1334228515625, 62.82415008544922,0.0199, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152124_260928026, 1090.7421875, 62.79981994628906,0.0225, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_260944692, 1090.1541748046875, 62.76456069946289,0.0267, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_260978024, 1089.9573974609375, 62.75298309326172,0.0285, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261011356, 1089.5670166015625, 62.72949981689453,0.0309, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261044688, 1089.1588134765625, 62.70553207397461,0.0362, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261061354, 1088.760009765625, 62.680152893066406,0.0403, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261094686, 1088.566650390625, 62.66736602783203,0.0416, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261128018, 1088.15234375, 62.64144515991211,0.0491, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261144684, 1087.745849609375, 62.61482620239258,0.0558, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261194682, 1087.548828125, 62.60100173950195,0.0578, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261228014, 1086.9478759765625, 62.55943298339844,0.0674, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261261346, 1086.551025390625, 62.53175354003906,0.0742, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261278012, 1086.148193359375, 62.50331497192383,0.0817, 0.0, 0.0, 1.0, 0.0,1,0
20200714_152124_261311344, 1085.9437255859375, 62.4891357421875,0.0868, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152124_261344676, 1085.55615234375, 62.46072006225586,0.0916, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152124_261378008, 1085.128662109375, 62.43204116821289,0.1016, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261411340, 1084.6866455078125, 62.40196990966797,0.1101, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261428006, 1084.239990234375, 62.371002197265625,0.117, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261444672, 1083.9896240234375, 62.35538101196289,0.1233, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261494670, 1083.75146484375, 62.338897705078125,0.1259, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261511336, 1082.9686279296875, 62.286922454833984,0.1359, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261561334, 1082.706298828125, 62.270511627197266,0.1404, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261578000, 1081.931396484375, 62.21955108642578,0.1477, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261611332, 1081.7391357421875, 62.207130432128906,0.1497, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261644664, 1081.1954345703125, 62.173194885253906,0.1549, 0.0, 0.0, 0.0, 0.0,1,0
20200714_152125_261661330, 1080.607177734375, 62.138389587402344,0.1606, 0.0, 0.0, 0.0, 0.0,1,0
