Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200715_154512_2759456284,7.0,0.048437,0.020242,-3.397293,-23.0,71.87533378601074,0.0, 0.0, 0.0,2
20200715_154512_2759506282,8.0,0.046873,0.022662,-3.435281,-23.0,71.87533378601074,0.0, 0.0, 0.0,2
20200715_154512_2759522948,8.0,0.044315,0.032429,-3.549991,-23.0,71.48470282554626,0.0, 0.0, 0.0,2
20200715_154512_2759556280,8.0,0.043943,0.036003,-3.587985,-23.0,71.48470282554626,0.0, 0.0, 0.0,2
20200715_154512_2759589612,9.0,0.038387,0.042158,-3.663985,-22.0,71.48470282554626,0.0, 0.0, 0.0,2
20200715_154512_2759606278,9.0,0.033947,0.044965,-3.739329,-22.0,71.48470282554626,0.0, 0.0, 0.0,2
20200715_154512_2759656276,10.0,0.033708,0.046366,-3.777338,-21.0,71.09407186508179,0.0, 0.0, 0.0,2
20200715_154512_2759672942,10.0,0.023056,0.046736,-3.892377,-20.0,70.70344090461731,0.0, 0.0, 0.0,2
20200715_154512_2759689608,11.0,0.022814,0.045652,-3.931189,-19.0,69.92217898368835,0.0, 0.0, 0.0,2
20200715_154512_2759739606,11.0,0.016475,0.044198,-3.970537,-19.0,68.35965514183044,0.0, 0.0, 0.0,2
20200715_154512_2759756272,12.0,0.008989,0.037517,-4.088779,-18.0,65.6252384185791,0.0, 0.0, 0.0,2
20200715_154512_2759789604,12.0,0.008381,0.035189,-4.12822,-18.0,64.45334553718567,0.0, 0.0, 0.0,2
20200715_154512_2759822936,12.0,0.006863,0.030805,-4.206503,-18.0,63.281452655792236,0.0, 0.0, 0.0,2
20200715_154512_2759839602,13.0,0.014159,0.027978,-4.283685,-17.0,62.89082169532776,0.0, 0.0, 0.0,2
20200715_154512_2759889600,13.0,0.013284,0.02757,-4.321846,-17.0,62.89082169532776,0.0, 0.0, 0.0,2
20200715_154512_2759939598,14.0,0.026161,0.030091,-4.432449,-16.0,62.89082169532776,0.0, 0.0, 0.0,2
20200715_154512_2759972930,15.0,0.022559,0.036801,-4.536644,-15.0,61.32829785346985,0.0, 0.0, 0.0,2
20200715_154512_2760006262,15.0,0.0118,0.042013,-4.600238,-15.0,59.76577401161194,0.0, 0.0, 0.0,2
