2,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_112443_853299200,98.30331421,0.012891,0.119489,7,0,0,0,0,2,0:00:03
20200722_112443_853332532,98.29535675,0.012014,0.121755,7,0,0,0,0,2,0:00:03
20200722_112443_853349198,98.27899933,0.007138,0.126562,7,0,0,0,0,2,0:00:03
20200722_112443_853382530,98.27059937,0.000434,0.129125,7,0,0,0,0,2,0:00:03
20200722_112443_853432528,98.25333405,-0.009013,0.134115,6,0,0,0,0,2,0:00:03
20200722_112443_853482526,98.22666168,-0.023469,0.140753,6,0,0,0,0,2,0:00:03
20200722_112443_853499192,98.19864655,-0.027736,0.147562,6,0,0,0,0,2,0:00:03
20200722_112443_853532524,98.18910217,-0.028608,0.149828,6,0,0,0,0,2,0:00:03
20200722_112443_853549190,98.16950989,-0.021417,0.154326,6,0,0,0,0,2,0:00:03
20200722_112443_853582522,98.15958405,-0.022337,0.156249,6,0,0,0,0,2,0:00:03
20200722_112443_853615854,98.13925171,-0.010972,0.160746,6,0,0,0,0,2,0:00:03
20200722_112443_853632520,98.11842346,-0.003028,0.165107,6,0,0,0,0,2,0:00:03
20200722_112443_853665852,98.10775757,0.006088,0.167407,6,0,0,0,0,2,0:00:03
20200722_112443_853699184,98.08625793,0.020598,0.171413,7,0,0,0,0,2,0:00:03
20200722_112443_853732516,98.06423187,0.031273,0.175476,7,0,0,0,0,2,0:00:03
20200722_112443_853749182,98.04179382,0.049132,0.179412,7,0,0,0,0,2,0:00:03
20200722_112444_853782514,98.03044891,0.057204,0.181347,7,0,0,0,0,2,0:00:04
20200722_112444_853799180,98.00727081,0.087291,0.185261,8,0,0,0,0,2,0:00:04
20200722_112444_853849178,97.99537659,0.110323,0.187298,8,0,0,0,0,2,0:00:04
20200722_112444_853865844,97.95929718,0.158358,0.193398,8,0,0,0,0,2,0:00:04
20200722_112444_853882510,97.94974518,0.170843,0.190811,8,0,0,0,0,2,0:00:04
20200722_112444_853932508,97.93745422,0.181253,0.192745,8,0,0,0,0,2,0:00:04
20200722_112444_853949174,97.90021515,0.213949,0.197884,9,0,0,0,0,2,0:00:04
20200722_112444_853982506,97.88764191,0.203673,0.199395,10,0,0,0,0,2,0:00:04
20200722_112444_853999172,97.86193085,0.204876,0.202427,10,0,0,0,0,2,0:00:04
20200722_112444_854032504,97.84914398,0.19252,0.203698,10,0,0,0,0,2,0:00:04
20200722_112444_854082502,97.82341003,0.181892,0.210565,10,0,0,0,0,2,0:00:04
20200722_112444_854132500,97.78424072,0.145909,0.214192,10,0,0,0,0,2,0:00:04
20200722_112444_854182498,97.74404144,0.088677,0.218015,10,0,0,0,0,2,0:00:04
20200722_112444_854215830,97.70287323,0.078069,0.222364,11,0,0,0,0,2,0:00:04
20200722_112444_854232496,97.67418671,0.127832,0.227022,12,0,0,0,0,2,0:00:04
20200722_112444_854265828,97.65982056,0.154686,0.229219,12,0,0,0,0,2,0:00:04
20200722_112444_854299160,97.6305542,0.246713,0.234106,13,0,0,0,0,2,0:00:04
20200722_112444_854332492,97.60157776,0.305319,0.237448,13,0,0,0,0,2,0:00:04
20200722_112444_854349158,97.57311249,0.332035,0.239531,14,0,0,0,0,2,0:00:04
20200722_112444_854399156,97.55901337,0.321679,0.239782,14,0,0,0,0,2,0:00:04
20200722_112444_854449154,97.51661682,0.248464,0.238684,14,0,0,0,0,2,0:00:04
20200722_112444_854465820,97.47320557,0.098924,0.23802,14,0,0,0,0,2,0:00:04
20200722_112444_854499152,97.45858765,0.062034,0.238318,14,0,0,0,0,2,0:00:04
20200722_112444_854532484,97.42926788,0.017136,0.239748,13,0,0,0,0,2,0:00:04
20200722_112444_854565816,97.40035248,-0.06237,0.240984,13,0,0,0,0,2,0:00:04
20200722_112444_854582482,97.3710556,-0.136897,0.242609,13,0,0,0,0,2,0:00:04
20200722_112444_854615814,97.35610962,-0.167346,0.243479,12,0,0,0,0,2,0:00:04
20200722_112444_854649146,97.32621765,-0.221092,0.24499,11,0,0,0,0,2,0:00:04
20200722_112445_854699144,97.29636383,-0.319599,0.245848,11,0,0,0,0,2,0:00:05
20200722_112445_854715810,97.25020599,-0.351092,0.250254,10,0,0,0,0,2,0:00:05
20200722_112445_854765808,97.23457336,-0.360077,0.25165,10,0,0,0,0,2,0:00:05
20200722_112445_854799140,97.18699646,-0.259207,0.257029,10,0,0,0,0,2,0:00:05
20200722_112445_854815806,97.15475464,-0.144961,0.261127,10,0,0,0,0,2,0:00:05
20200722_112445_854865804,97.13858032,-0.087772,0.262969,10,0,0,0,0,2,0:00:05
20200722_112445_854915802,97.09030914,-0.010756,0.266506,10,0,0,0,0,2,0:00:05
20200722_112445_854932468,97.04177094,-0.007354,0.268634,10,0,0,0,0,2,0:00:05
20200722_112445_854965800,97.0254364,-0.021349,0.269275,9,0,0,0,0,2,0:00:05
20200722_112445_854999132,96.99291229,-0.054127,0.269744,9,0,0,0,0,2,0:00:05
20200722_112445_855032464,96.96000671,-0.07743,0.27082,9,0,0,0,0,2,0:00:05
20200722_112445_855049130,96.92701721,-0.089049,0.272159,9,0,0,0,0,2,0:00:05
20200722_112445_855082462,96.91053009,-0.093815,0.27264,9,0,0,0,0,2,0:00:05
20200722_112445_855115794,96.87754822,-0.122362,0.273716,8,0,0,0,0,2,0:00:05
20200722_112445_855149126,96.84385681,-0.142492,0.27565,8,0,0,0,0,2,0:00:05
20200722_112445_855182458,96.80947113,-0.143857,0.278328,8,0,0,0,0,2,0:00:05
20200722_112445_855199124,96.77470398,-0.113872,0.281509,8,0,0,0,0,2,0:00:05
20200722_112445_855249122,96.75719452,-0.093345,0.283043,8,0,0,0,0,2,0:00:05
20200722_112445_855265788,96.70452881,-0.028385,0.288376,8,0,0,0,0,2,0:00:05
20200722_112445_855299120,96.68701172,-0.011018,0.289555,8,0,0,0,0,2,0:00:05
20200722_112445_855315786,96.65413666,0.014027,0.287529,8,0,0,0,0,2,0:00:05
20200722_112445_855332452,96.6361618,0.020184,0.288857,8,0,0,0,0,2,0:00:05
20200722_112445_855382450,96.61830902,0.017867,0.289692,8,0,0,0,0,2,0:00:05
20200722_112445_855399116,96.56399536,0.011337,0.292828,8,0,0,0,0,2,0:00:05
20200722_112445_855449114,96.54573059,0.018049,0.294156,8,0,0,0,0,2,0:00:05
20200722_112445_855499112,96.49081421,0.040276,0.297417,9,0,0,0,0,2,0:00:05
20200722_112445_855515778,96.43520355,0.059966,0.305177,9,0,0,0,0,2,0:00:05
20200722_112445_855549110,96.41669464,0.064604,0.305978,9,0,0,0,0,2,0:00:05
20200722_112445_855582442,96.37940216,0.053513,0.307672,9,0,0,0,0,2,0:00:05
20200722_112445_855599108,96.34177399,0.052606,0.309594,9,0,0,0,0,2,0:00:05
20200722_112446_855632440,96.32306671,0.046543,0.310063,9,0,0,0,0,2,0:00:06
20200722_112446_855649106,96.28520966,0.051102,0.311872,9,0,0,0,0,2,0:00:06
20200722_112446_855682438,96.26607513,0.05583,0.313051,9,0,0,0,0,2,0:00:06
20200722_112446_855732436,96.22793579,0.052039,0.314607,9,0,0,0,0,2,0:00:06
20200722_112446_855782434,96.17068481,0.023951,0.316484,9,0,0,0,0,2,0:00:06
20200722_112446_855815766,96.11323547,-0.055128,0.318109,9,0,0,0,0,2,0:00:06
20200722_112446_855832432,96.07440948,-0.093643,0.319459,8,0,0,0,0,2,0:00:06
20200722_112446_855865764,96.05491638,-0.110301,0.320306,8,0,0,0,0,2,0:00:06
20200722_112446_855899096,96.01584625,-0.121748,0.321771,8,0,0,0,0,2,0:00:06
20200722_112446_855949094,95.97653961,-0.101189,0.323591,8,0,0,0,0,2,0:00:06
20200722_112446_855965760,95.9172287,-0.06226,0.326692,8,1,0,0,0,2,0:00:06
20200722_112446_856015758,95.89768982,-0.065321,0.326681,8,2,0,0,0,2,0:00:06
20200722_112446_856032424,95.83885956,-0.105689,0.327677,7,4,0,0,0,2,0:00:06
20200722_112446_856049090,95.81934357,-0.124497,0.327516,7,4,0,0,0,2,0:00:06
20200722_112446_856099088,95.79975891,-0.138405,0.327608,7,4,0,0,0,2,0:00:06
20200722_112446_856115754,95.74184418,-0.195118,0.32525,6,4,0,0,0,2,0:00:06
20200722_112446_856149086,95.7225647,-0.193469,0.324449,6,4,0,0,0,2,0:00:06
20200722_112446_856182418,95.68454742,-0.16597,0.322389,6,5,0,0,0,2,0:00:06
20200722_112446_856199084,95.64676666,-0.116332,0.320169,6,6,0,0,0,2,0:00:06
20200722_112446_856215750,95.62793732,-0.093429,0.319025,6,6,0,0,0,2,0:00:06
20200722_112446_856265748,95.60926819,-0.073953,0.317491,6,6,0,0,0,2,0:00:06
20200722_112446_856282414,95.55380249,-0.003389,0.313405,6,6,0,0,0,2,0:00:06
20200722_112446_856315746,95.53556061,0.002879,0.311677,6,6,0,0,0,2,0:00:06
20200722_112446_856332412,95.49942017,0.010245,0.308553,6,6,0,0,0,2,0:00:06
