Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Label
4,0.0627451,0,3,0,0,0
4,0.047058824,-0.0625,3,0,0,0
4,0.047058824,-0.0625,3,0,0,0
4,0.047058824,-0.0625,3,0,0,0
4,0.047058824,-0.25,3,0,0,0
5,0.047058824,-0.25,3,0,0,0
5,0.047058824,-0.25,3,0,0,0
5,0.015686275,-0.0625,3,1.1764706,0,0
5,0.015686275,-0.0625,3,1.1764706,0,0
5,0.015686275,-0.0625,3,1.1764706,0,0
5,0.047058824,-0.125,3,7.4509807,0,0
6,0.047058824,-0.125,3,7.4509807,0,0
6,0.047058824,-0.125,3,7.4509807,0,0
6,0.1254902,-0.125,2,7.4509807,0,0
7,0.1254902,-0.125,2,7.4509807,0,0
7,0.1254902,-0.125,2,7.4509807,0,0
7,0.10980392,-0.0625,3,8.235294,0,0
8,0.10980392,-0.0625,3,8.235294,0,0
8,0.10980392,-0.0625,3,8.235294,0,0
8,0.1254902,-0.0625,2,8.235294,0,0
10,0.1254902,-0.0625,2,8.235294,0,0
10,0.1254902,-0.0625,2,8.235294,0,0
10,0.1254902,-0.0625,1,8.235294,0,0
11,0.1254902,-0.0625,1,8.235294,0,0
11,0.1254902,-0.0625,1,8.235294,0,0
11,0.09411765,0,1,8.235294,0,0
12,0.09411765,0,1,8.235294,0,0
12,0.047058824,0,1,11.372549,0,0
12,0.047058824,0,1,11.372549,0,0
13,0.047058824,0,1,11.372549,0,0
13,0.047058824,0,1,11.372549,0,0
13,0.078431375,0,1,21.176472,0,0
14,0.078431375,0,1,21.176472,0,0
14,0.078431375,0,1,21.176472,0,0
14,0.1254902,-0.125,1,23.137255,0,0
15,0.1254902,-0.125,1,23.137255,0,0
15,0.1254902,-0.125,1,23.137255,0,0
15,0.15686275,0.25,0,23.92157,0,0
17,0.15686275,0.25,0,23.92157,0,0
17,0.15686275,0.25,0,23.92157,0,0
17,0.1882353,-0.0625,0,20,0,0
19,0.1882353,-0.0625,0,20,0,0
19,0.1882353,-0.0625,0,20,0,0
19,0.17254902,0.0625,0,12.941176,0,0
20,0.17254902,0.0625,0,12.941176,0,0
20,0.17254902,0.0625,0,12.941176,0,0
20,0.10980392,0.375,0,9.019608,0,0
21,0.10980392,0.375,0,9.019608,0,0
21,0.0627451,0,0,9.019608,0,0
22,0.0627451,0,0,9.019608,0,0
22,0.0627451,0,0,9.019608,0,0
22,0.0627451,0,0,9.019608,0,0
23,0.047058824,0.1875,0,12.156863,0,0
23,0.047058824,0.1875,0,12.156863,0,0
23,0.047058824,0,0,13.333334,0,0
23,0.047058824,0,0,13.333334,0,0
23,0.047058824,0,0,13.333334,0,0
23,0.047058824,0.375,0,13.333334,0,0
23,0.047058824,0.375,0,13.333334,0,0
24,0.047058824,0.375,0,13.333334,0,0
24,0.047058824,0.375,0,13.333334,0,0
24,0.047058824,0,0,15.294118,0,0
24,0.047058824,0,0,15.294118,0,0
24,0.047058824,0,0,15.294118,0,0
24,0.0627451,0,0,16.470589,0,0
25,0.0627451,0,0,16.470589,0,0
25,0.0627451,0,0,16.470589,0,0
25,0.078431375,0.3125,1,16.078432,0,0
26,0.078431375,0.3125,1,16.078432,0,0
26,0.078431375,0.4375,1,13.333334,0,0
27,0.078431375,0.4375,1,13.333334,0,0
27,0.078431375,0.4375,1,13.333334,0,0
27,0.078431375,0.0625,1,15.294118,0,0
28,0.078431375,0.0625,1,15.294118,0,0
28,0.078431375,0.0625,1,15.294118,0,0
28,0.078431375,-0.1875,1,14.901961,0,0
29,0.078431375,-0.1875,1,14.901961,0,0
29,0.078431375,-0.1875,1,14.901961,0,0
29,0.078431375,0.0625,2,15.294118,0,0
30,0.078431375,0.0625,2,15.294118,0,0
30,0.078431375,0.0625,2,15.294118,0,0
30,0.078431375,-0.25,2,16.078432,0,0
30,0.078431375,-0.25,2,16.078432,0,0
30,0.078431375,-0.25,2,16.078432,0,0
30,0.078431375,0.125,1,14.901961,0,0
32,0.078431375,0.125,1,14.901961,0,0
32,0.078431375,0.125,1,14.901961,0,0
32,0.078431375,0.125,1,14.901961,0,0
32,0.078431375,-0.1875,1,6.27451,0,0
32,0.078431375,-0.1875,1,6.27451,0,0
32,0.078431375,-0.1875,1,6.27451,0,0
32,0.015686275,-0.25,1,0,0,0
33,0.015686275,-0.25,1,0,0,0
33,0.015686275,-0.25,1,0,0,0
33,0,-0.0625,1,0,0,0
33,0,-0.0625,1,0,0,0
33,0,-0.0625,1,0,0,0
33,0,0.125,1,0,0,0
32,0,0.125,1,0,0,0
32,0,0,1,0,0,0
32,0,0,1,0,0,0
32,0,0,1,0,0,0
32,0,0,1,0,0,0
32,-0.015686275,-0.3125,1,0.39215687,0,0
32,-0.015686275,-0.3125,1,0.39215687,0,0
32,-0.015686275,-0.3125,1,0.39215687,0,0
32,0,-0.1875,1,1.9607843,0,0
32,0,-0.1875,1,1.9607843,0,0
32,0,-0.25,1,4.3137255,0,0
32,0,-0.25,1,4.3137255,0,0
32,0,-0.25,1,4.3137255,0,0
32,0,-0.25,1,4.3137255,0,0
32,0,0,1,10.196078,0,0
32,0,0,1,10.196078,0,0
32,0,0,1,10.196078,0,0
32,0.015686275,-0.375,2,8.627451,0,0
32,0.015686275,-0.375,2,8.627451,0,0
